PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality,Date/Time
13.5,19.5,17.1,10.8,1.55,10.2,499,Moderate,1/29/2012 20:00
5.4,10,18.3,3.4,0.98,12.7,263,Good,1/29/2012 21:00
45.2,63.7,34.2,26.8,2.53,3.2,887,Hazardous,1/29/2012 22:00
14.5,21.4,13.4,3.7,1.08,11.3,379,Good,1/29/2012 23:00
11.5,8.6,21.7,15.8,1.27,5.2,618,Moderate,1/30/2012 0:00
3.8,6.4,26.3,8.3,1.17,10.6,215,Good,1/30/2012 1:00
10,17.4,25.4,5.2,1.51,6.6,432,Moderate,1/30/2012 2:00
12.7,25.8,23.3,16.6,2.15,4.2,839,Poor,1/30/2012 3:00
5.5,12.4,22,3.4,1.06,10.1,470,Good,1/30/2012 4:00
77.8,86.9,37.9,15.7,1.93,4.7,438,Poor,1/30/2012 5:00
4,6.4,32.9,9.4,1.57,5.9,662,Moderate,1/30/2012 6:00
8.9,17.1,30.1,5.3,1.72,3.7,531,Poor,1/30/2012 7:00
12.5,16.9,14.7,3.5,0.92,12,432,Good,1/30/2012 8:00
12.3,15.3,20.3,5.3,0.99,12.7,374,Good,1/30/2012 9:00
15.9,19.6,21,5.3,1.16,19.4,496,Good,1/30/2012 10:00
3.7,11.2,21.3,7.9,1.02,11.5,233,Good,1/30/2012 11:00
88.5,93.5,16.5,4.9,1.7,7.1,454,Moderate,1/30/2012 12:00
12.3,19.1,27.3,4.9,0.86,12,316,Good,1/30/2012 13:00
21.8,28.8,18.9,2.7,0.96,10.2,335,Good,1/30/2012 14:00
23.3,31.1,37.9,9.4,1.57,7.5,505,Moderate,1/30/2012 15:00
41.2,58,26.4,22.2,1.54,11,609,Moderate,1/30/2012 16:00
1,18.5,32.4,9.8,1.95,6.8,545,Poor,1/30/2012 17:00
12,15.1,26.6,9.9,1.47,8.5,487,Moderate,1/30/2012 18:00
12.3,13.9,20.6,15.5,1.21,5.1,372,Moderate,1/30/2012 19:00
2.5,10.1,23.2,5,0.79,11.2,488,Good,1/30/2012 20:00
18.1,42.9,36.4,24.7,1.95,3.5,749,Poor,1/30/2012 21:00
9.8,13.2,23.1,4.2,0.98,11.1,578,Good,1/30/2012 22:00
0.9,3.5,12.6,6.1,1.01,14.5,368,Good,1/30/2012 23:00
14.7,27.1,27.9,11.5,1.56,5.3,428,Moderate,1/31/2012 0:00
6,9.6,19.3,1.1,0.93,12.4,409,Good,1/31/2012 1:00
39.6,52.6,28.7,15.8,1.33,6.1,463,Moderate,1/31/2012 2:00
49,62.9,26.9,12.1,2.2,6,721,Poor,1/31/2012 3:00
0.6,13.3,25.9,20,1.59,9,403,Moderate,1/31/2012 4:00
1.6,5.5,13.8,4.2,0.98,14,494,Good,1/31/2012 5:00
31.6,45.9,32.9,13.6,2.15,6.6,482,Poor,1/31/2012 6:00
37.6,41.9,18.9,13.9,1.68,8.2,579,Moderate,1/31/2012 7:00
8,13.4,13.3,4.6,0.93,11.9,410,Good,1/31/2012 8:00
9.3,13.3,18.8,4,0.89,13.3,321,Good,1/31/2012 9:00
9.2,18.9,35.2,9.7,1.49,5.3,318,Moderate,1/31/2012 10:00
1.2,8,18.5,5.3,1.09,16.4,526,Good,1/31/2012 11:00
13.3,19.6,16,5.1,1.01,15.5,198,Good,1/31/2012 12:00
4,11,32.9,10.9,1.25,9.5,651,Moderate,1/31/2012 13:00
7.1,12.7,27.8,3.4,0.92,10.9,473,Good,1/31/2012 14:00
28.9,39.2,18.7,5.9,0.95,12.9,342,Good,1/31/2012 15:00
37.2,41,35.3,11.8,2.33,8.5,770,Poor,1/31/2012 16:00
16.4,21.2,21,8.7,1.27,9.7,377,Moderate,1/31/2012 17:00
45.6,49.2,31.7,11.6,1.44,5.6,444,Moderate,1/31/2012 18:00
7,11,26.8,7,1.18,10.4,530,Good,1/31/2012 19:00
7.9,20.8,27.7,12.6,1.68,7.5,574,Moderate,1/31/2012 20:00
10,12.5,20.9,5.7,1,10.6,494,Good,1/31/2012 21:00
2.2,5.5,11.3,0.8,1.12,10.8,344,Good,1/31/2012 22:00
45.9,56,27,6.7,1.4,6.7,633,Moderate,1/31/2012 23:00
12.9,33.1,38.9,8.3,1.86,4.3,529,Poor,02-01-2012 00:00
2.1,10.2,26.3,8.3,1.59,5.1,342,Moderate,02-01-2012 01:00
18.4,34.9,32.7,13.9,2.54,5,486,Poor,02-01-2012 02:00
17.3,27.3,27.2,0,1.45,7.5,575,Moderate,02-01-2012 03:00
5.2,8.9,19,3,1.01,11.1,437,Good,02-01-2012 04:00
3.5,7.1,23.9,7.2,0.97,11,417,Good,02-01-2012 05:00
2,12.5,19.2,5.7,1.12,10.6,339,Good,02-01-2012 06:00
25.8,32.4,30.8,13.7,1.69,6,268,Moderate,02-01-2012 07:00
3.1,8.1,12.2,3.2,1.06,10.2,543,Good,02-01-2012 08:00
0.1,10.9,32.6,10.4,1.38,7.7,511,Moderate,02-01-2012 09:00
3.6,6.6,19.7,1.3,1.07,20,473,Good,02-01-2012 10:00
6.7,30.2,36.4,25.8,2.49,4,632,Poor,02-01-2012 11:00
1.3,20.9,46.3,21,1.82,4.8,634,Poor,02-01-2012 12:00
79.8,104,51,17.9,2.62,4.9,574,Hazardous,02-01-2012 13:00
7.3,19.7,30,16.8,1.38,5.5,326,Moderate,02-01-2012 14:00
36.4,55.4,42.4,16.8,2.38,4.6,531,Hazardous,02-01-2012 15:00
10.4,16.2,25.7,2.2,0.85,10.9,231,Good,02-01-2012 16:00
15.7,33.5,19.9,11.7,1.79,5.3,362,Moderate,02-01-2012 17:00
7.2,19.3,20.7,1.9,1.46,12.4,537,Moderate,02-01-2012 18:00
22.5,33.9,32.1,22,2.82,9.5,672,Hazardous,02-01-2012 19:00
6.8,9.7,24.7,7.3,1.06,10.5,542,Good,02-01-2012 20:00
16.2,21.2,19.2,0.1,1,10.8,323,Good,02-01-2012 21:00
25,38.3,25.9,12,1.72,5.6,549,Poor,02-01-2012 22:00
6.4,13.6,25.8,10.8,1.54,7.3,685,Moderate,02-01-2012 23:00
111,117.2,28.8,6.9,1.43,9.5,645,Moderate,02-02-2012 00:00
0.4,10.8,32.6,8.2,1.35,5.8,643,Moderate,02-02-2012 01:00
6.5,22.9,24.8,9,1.54,5.9,383,Moderate,02-02-2012 02:00
4.9,10.6,17.9,1.4,0.92,12.8,397,Good,02-02-2012 03:00
1.9,9.7,26.4,7.4,1.02,13.8,558,Good,02-02-2012 04:00
31.9,39.6,21.3,15.8,1.72,5.6,697,Moderate,02-02-2012 05:00
6.8,15.7,31.5,12.7,2.43,3.7,767,Poor,02-02-2012 06:00
22.8,25.4,14.3,5.7,1.07,12.2,358,Good,02-02-2012 07:00
36.2,54.1,32.3,19,2.8,4.3,616,Poor,02-02-2012 08:00
0.7,13,27.3,9.4,1.65,7.6,531,Moderate,02-02-2012 09:00
3.9,7.9,23.5,6.2,0.99,10.4,366,Good,02-02-2012 10:00
7.5,10.3,28.1,4.6,1.49,5.7,473,Moderate,02-02-2012 11:00
70.4,97.4,39.2,20.8,1.83,5.3,480,Poor,02-02-2012 12:00
28.2,36.7,41.2,16.3,1.85,3.5,568,Poor,02-02-2012 13:00
18.3,31.4,30.6,17,1.42,5.2,396,Moderate,02-02-2012 14:00
16.6,27.3,34.8,15,1.75,5.3,446,Moderate,02-02-2012 15:00
9.8,16.3,25.6,7.1,0.89,14.8,458,Good,02-02-2012 16:00
70.7,74.9,30.8,18.3,2.3,3.7,422,Poor,02-02-2012 17:00
13.5,25.9,23.7,18.5,0.94,8.6,546,Moderate,02-02-2012 18:00
116.1,127.6,30,10.2,2.26,3.8,790,Poor,02-02-2012 19:00
52.1,56.7,28.9,0.6,0.99,15.1,384,Good,02-02-2012 20:00
22.8,38.3,27.4,4.9,1.42,6.3,443,Moderate,02-02-2012 21:00
0.2,23.6,17.8,6.6,1.71,5.2,643,Poor,02-02-2012 22:00
40.7,55,18.8,3.3,1.76,3.9,669,Poor,02-02-2012 23:00
5.7,7.5,19.7,5,1.15,13.1,514,Good,02-03-2012 00:00
24.8,46.3,29.1,13.2,1.89,5.9,599,Hazardous,02-03-2012 01:00
17,19.9,15.9,7,1.04,10.8,564,Good,02-03-2012 02:00
0,5.3,26.2,2.6,1.13,12.2,474,Good,02-03-2012 03:00
57.9,68.6,22.9,15.7,1.32,6.7,542,Moderate,02-03-2012 04:00
7.7,15.5,25.6,21.4,1.46,5.3,423,Moderate,02-03-2012 05:00
4.1,11.6,14.5,5.4,1.17,10.2,421,Good,02-03-2012 06:00
18.5,32.1,23,21.3,1.84,5.4,793,Poor,02-03-2012 07:00
0.2,8.8,31.9,18.5,2.12,7.7,753,Poor,02-03-2012 08:00
36,45.5,21.3,12.7,1.66,7.7,395,Moderate,02-03-2012 09:00
0.4,12.9,33.2,4.5,1.63,5.2,541,Moderate,02-03-2012 10:00
30.3,31.5,22.5,4.4,1.05,11.8,320,Good,02-03-2012 11:00
1.7,15.7,33.5,7.2,2.33,7.2,535,Poor,02-03-2012 12:00
0.5,5.4,20.9,-0.6,0.87,10.1,422,Good,02-03-2012 13:00
134.5,155.1,46.3,23.4,3.36,8.5,736,Hazardous,02-03-2012 14:00
5.5,17.5,44.2,17.2,1.65,4.1,506,Poor,02-03-2012 15:00
24.9,35.3,30.7,8.8,1.5,5.6,631,Moderate,02-03-2012 16:00
5.8,15.9,25.5,16,2.72,5.3,560,Poor,02-03-2012 17:00
0.1,6.6,24.2,9.1,1.63,6.1,536,Moderate,02-03-2012 18:00
10.7,16.8,22,6.4,0.76,15,319,Good,02-03-2012 19:00
0.1,1.7,17.5,5.9,0.99,13.3,457,Good,02-03-2012 20:00
27,29.1,18.5,11,1.54,8.7,466,Moderate,02-03-2012 21:00
13.5,15.7,18.2,4.1,1.2,10.2,503,Good,02-03-2012 22:00
3.4,13.1,18.2,3.8,1.2,6.6,296,Moderate,02-03-2012 23:00
1.2,2.2,24.5,9.7,1.03,10.5,349,Good,02-04-2012 00:00
16.6,24.3,32.4,17.8,1.97,5.2,577,Poor,02-04-2012 01:00
22.9,25,14.4,5,0.78,10.1,356,Good,02-04-2012 02:00
13.1,17.7,15.6,4.9,0.99,10.5,468,Good,02-04-2012 03:00
10,32.7,39.7,12.4,2.24,4.3,640,Hazardous,02-04-2012 04:00
43.9,52.4,39.8,8.6,1.55,3.5,670,Poor,02-04-2012 05:00
17.3,28,46.5,14.6,2.26,4.2,658,Poor,02-04-2012 06:00
40.2,47.5,20.3,14.7,1.76,5.1,574,Moderate,02-04-2012 07:00
2.3,11.2,22.4,7.6,1.22,6.6,452,Moderate,02-04-2012 08:00
13.5,26.8,37.5,16.2,2.38,3.8,630,Poor,02-04-2012 09:00
8.9,33.5,36.5,19.2,2.4,4.4,778,Hazardous,02-04-2012 10:00
2.6,5.1,18.7,6.8,1.12,12.2,351,Good,02-04-2012 11:00
13.9,22.7,26.6,12.8,1.29,7.6,616,Moderate,02-04-2012 12:00
43.1,63.3,53.7,15.2,1.94,7.6,722,Hazardous,02-04-2012 13:00
4.7,7.3,26.3,7.5,0.98,11.5,535,Good,02-04-2012 14:00
21.3,25.9,14.1,7.1,0.91,10.5,577,Good,02-04-2012 15:00
23.6,28.9,19,4.6,1.02,10.1,303,Good,02-04-2012 16:00
14,18.7,17.6,7.7,1.04,10.4,456,Good,02-04-2012 17:00
12.6,26.2,41.2,34.1,3.04,7,543,Hazardous,02-04-2012 18:00
21.5,25.1,12.2,7,1.13,11.1,311,Good,02-04-2012 19:00
66.1,93.4,40,16.4,1.29,3.5,424,Poor,02-04-2012 20:00
2.8,7.6,18.2,4.8,1.08,10.8,470,Good,02-04-2012 21:00
5.2,9.6,24.4,8.8,0.98,11.4,284,Good,02-04-2012 22:00
1.1,5.4,17.9,5,1.15,10.5,447,Good,02-04-2012 23:00
7.3,17.9,33.2,17,1.9,4.3,678,Poor,02-05-2012 00:00
43.5,48.7,22.7,7.7,1.61,11.8,370,Moderate,02-05-2012 01:00
2.4,7,18.6,6.1,1.12,13.7,333,Good,02-05-2012 02:00
82.4,94.3,37.9,13.1,2.42,6,791,Poor,02-05-2012 03:00
27.5,33.5,26,4.3,1.03,11.2,360,Good,02-05-2012 04:00
8.6,14.6,14.7,4.6,0.99,16.3,297,Good,02-05-2012 05:00
21.7,29.9,13.6,6.3,0.85,12.4,549,Good,02-05-2012 06:00
28.6,47.1,23.1,6.4,1.46,5.6,490,Moderate,02-05-2012 07:00
4.7,10.9,19.3,3.2,1.18,17.6,471,Good,02-05-2012 08:00
22.9,36.8,38.3,9.5,1.59,7.6,543,Moderate,02-05-2012 09:00
4.7,11.3,30.3,13.9,1.33,6.5,412,Moderate,02-05-2012 10:00
4.8,12.8,17.7,2,0.87,10.1,561,Good,02-05-2012 11:00
14.1,25,28.4,4.2,2.3,4.6,740,Poor,02-05-2012 12:00
9.1,30.9,40.2,21,2.33,2.8,827,Hazardous,02-05-2012 13:00
21.4,33,22.2,9.2,1.14,5.5,398,Moderate,02-05-2012 14:00
3.5,9.4,14.6,4.3,0.85,11.6,215,Good,02-05-2012 15:00
7.6,17.9,23.6,26.6,2.18,4.2,677,Poor,02-05-2012 16:00
7.2,11.4,12.4,6.2,1.01,13.5,295,Good,02-05-2012 17:00
6,15.4,22,11.4,1.29,6.8,370,Moderate,02-05-2012 18:00
15.7,18.4,15.3,8.1,0.94,12.4,341,Good,02-05-2012 19:00
29.2,42.2,54.4,23.6,3.37,3.7,614,Hazardous,02-05-2012 20:00
7.1,15.6,22.7,1.6,1.44,6.4,542,Moderate,02-05-2012 21:00
17.2,35.2,20.7,4.5,1.7,6.3,649,Moderate,02-05-2012 22:00
65.6,82.8,33.8,18.3,1.59,5.5,641,Poor,02-05-2012 23:00
0.5,1.5,25,3.4,0.88,11.2,407,Good,02-06-2012 00:00
16.1,35.6,31.7,20.7,2.73,4.5,544,Hazardous,02-06-2012 01:00
4.7,14.1,47.6,21,2.01,5.6,771,Hazardous,02-06-2012 02:00
12.2,22.2,26.8,10,1.49,8,438,Moderate,02-06-2012 03:00
0.8,4.2,19.4,7.1,1.11,12.7,490,Good,02-06-2012 04:00
96.4,115.5,45.6,10.1,2.29,4.7,570,Poor,02-06-2012 05:00
58.5,75.7,39.1,13.1,1.96,4.6,609,Poor,02-06-2012 06:00
11.4,18.5,18.3,8.4,1.74,7.1,425,Moderate,02-06-2012 07:00
49.9,50.3,19,15.4,1.94,4.2,539,Poor,02-06-2012 08:00
7.9,8.1,24.2,7.2,1.13,14.7,532,Good,02-06-2012 09:00
6.9,12,11.8,3.5,1,13.5,485,Good,02-06-2012 10:00
24.7,29.9,17.1,4.7,1.1,15,540,Good,02-06-2012 11:00
12.4,16.2,13.7,6.9,0.73,11.2,579,Good,02-06-2012 12:00
64,84.5,47.3,12.1,1.69,4.2,630,Poor,02-06-2012 13:00
11.2,32.1,36.6,17,1.91,3.5,831,Poor,02-06-2012 14:00
11.9,33.1,34.5,14.6,2.14,7.9,535,Poor,02-06-2012 15:00
53.2,65.6,34.6,19.9,1.91,3.8,391,Poor,02-06-2012 16:00
5.1,16.2,27,7,1.93,7.6,364,Moderate,02-06-2012 17:00
95.7,115.6,42.7,18.7,2.59,6.7,707,Hazardous,02-06-2012 18:00
58.3,78.3,42.9,4.8,1.43,5.1,505,Poor,02-06-2012 19:00
13.2,20,27.7,13.3,1.58,15.5,300,Moderate,02-06-2012 20:00
5.5,13.2,20.6,2.4,1.17,10.2,359,Good,02-06-2012 21:00
22.3,35.3,20.3,10,1.53,5.7,333,Moderate,02-06-2012 22:00
8.8,13.6,20.1,6,0.97,10.5,494,Good,02-06-2012 23:00
15.1,24.5,29,12.8,1.54,6.9,485,Moderate,02-07-2012 00:00
13.9,30,37.6,12.1,2,12.3,552,Poor,02-07-2012 01:00
13.7,21.5,19.6,2.3,1.02,11.7,511,Good,02-07-2012 02:00
7.2,11.9,19,5.5,1.01,12.6,581,Good,02-07-2012 03:00
13.5,27.2,38.4,9.6,2.23,3.6,641,Poor,02-07-2012 04:00
4.3,6.5,28.1,9.4,1.5,5.1,438,Moderate,02-07-2012 05:00
4.7,13,21.9,10.1,1.48,5.5,351,Moderate,02-07-2012 06:00
4.4,9,10.4,5.6,0.8,17.4,383,Good,02-07-2012 07:00
27.2,33,22.2,4.9,0.9,11.6,336,Good,02-07-2012 08:00
51.2,69.4,48.2,17.7,2.37,2.6,796,Hazardous,02-07-2012 09:00
5.4,46.1,41.7,6.3,2.35,2.6,846,Hazardous,02-07-2012 10:00
26.6,30.2,13.4,5.6,1.09,11.7,337,Good,02-07-2012 11:00
3.6,11.2,15,7.4,0.75,10.5,365,Good,02-07-2012 12:00
0.6,14.2,32.5,17.5,1.59,14.5,646,Moderate,02-07-2012 13:00
0.8,6.8,27.7,4.6,0.99,12,279,Good,02-07-2012 14:00
22,25.6,13,6.4,1.05,10.4,231,Good,02-07-2012 15:00
34.4,40.7,35.8,6.2,1.42,8.8,510,Moderate,02-07-2012 16:00
39.9,54.2,37.5,19.8,2.2,3.4,463,Poor,02-07-2012 17:00
8.3,19.2,36.2,18.8,2.25,3.4,417,Poor,02-07-2012 18:00
33.9,41.7,37.4,14.5,1.17,7.7,542,Moderate,02-07-2012 19:00
18.1,32.1,31.7,15.3,1.86,6.1,691,Poor,02-07-2012 20:00
6.3,9.3,23.5,14.3,1.88,7.8,365,Moderate,02-07-2012 21:00
12.2,34.2,38.7,13.5,1.88,5.3,688,Poor,02-07-2012 22:00
0.4,6.2,27,9.3,1.12,11.6,465,Good,02-07-2012 23:00
1,4.7,26,3.5,1.02,10.6,262,Good,02-08-2012 00:00
15.7,21.6,24.4,3.9,1.01,10.2,261,Good,02-08-2012 01:00
71.2,87.5,30.3,15.8,2.31,6.3,712,Poor,02-08-2012 02:00
22.5,35,38,26.9,2.31,3.7,774,Poor,02-08-2012 03:00
70,88.9,41.7,23.3,2.42,4.2,678,Poor,02-08-2012 04:00
0,13.9,27.2,5.3,1,5.4,412,Moderate,02-08-2012 05:00
45.2,60,28.5,15.7,2.43,6,759,Hazardous,02-08-2012 06:00
0.9,8.2,25.2,11.4,1.46,8.4,670,Moderate,02-08-2012 07:00
13.7,20.4,15.7,7.6,1.04,11.3,365,Good,02-08-2012 08:00
43.3,51.1,31.9,10.6,1.23,7.2,293,Moderate,02-08-2012 09:00
75.6,90.4,33.6,17.9,1.98,9.6,425,Poor,02-08-2012 10:00
67.2,77.4,32.7,6.2,1.24,13.8,461,Moderate,02-08-2012 11:00
14.6,26.3,22.2,10.6,1.8,5.8,643,Moderate,02-08-2012 12:00
28,40.2,23.5,8.7,1.41,5.9,379,Moderate,02-08-2012 13:00
8.8,11.5,14.1,5.1,0.89,10.1,428,Good,02-08-2012 14:00
8.4,16.1,32.7,9.3,1.48,5.2,638,Moderate,02-08-2012 15:00
16.9,22.9,13.2,6.9,1.09,10.4,450,Good,02-08-2012 16:00
16.6,30.3,19.3,13.6,1.68,3.8,588,Poor,02-08-2012 17:00
8.7,14.7,31.6,11.9,1.53,10.4,475,Moderate,02-08-2012 18:00
13.4,17.3,19.1,1.1,1.07,11.1,280,Good,02-08-2012 19:00
40.7,57.5,32.1,7,1.79,6.1,562,Moderate,02-08-2012 20:00
31.4,33.8,15.1,5.8,1.02,10.5,300,Good,02-08-2012 21:00
17.3,22.4,13,5.6,1.21,13,539,Good,02-08-2012 22:00
2.9,8.8,24.4,0.6,1.04,12.5,372,Good,02-08-2012 23:00
9.5,14.9,21.7,7.3,1.64,5.4,654,Moderate,02-09-2012 00:00
6,15.4,20.2,5.5,1.03,10.5,446,Good,02-09-2012 01:00
1.6,4.8,21.1,4.6,1.1,11.7,230,Good,02-09-2012 02:00
5.8,15.1,28,8.8,1.43,10.8,421,Moderate,02-09-2012 03:00
0.9,5.7,20.3,6.6,0.93,11,409,Good,02-09-2012 04:00
20.8,25.6,15.7,4.4,0.75,10.3,432,Good,02-09-2012 05:00
1.3,9,23.8,0.8,2.54,5.3,755,Poor,02-09-2012 06:00
19.4,30.7,35.4,24.7,1.74,15.4,748,Poor,02-09-2012 07:00
24,42.3,37.5,29.3,2.35,2.9,924,Hazardous,02-09-2012 08:00
15.7,25.3,28,13.2,1.59,7.6,485,Moderate,02-09-2012 09:00
1.6,10.7,16.9,3.1,1.37,8.1,396,Moderate,02-09-2012 10:00
0.1,3.9,22.8,4.9,1.02,13.8,575,Good,02-09-2012 11:00
3.6,9,24.4,3.8,0.9,11.2,527,Good,02-09-2012 12:00
15.6,18.6,24.2,4.7,1.04,12.6,430,Good,02-09-2012 13:00
21.6,25.2,21.5,3.4,1.02,14.8,215,Good,02-09-2012 14:00
26.6,34.2,24.8,3.2,1.06,10.6,596,Good,02-09-2012 15:00
12.2,17.2,14.1,7.2,0.93,10.5,333,Good,02-09-2012 16:00
6.7,13.5,21.4,4.9,1.11,12.3,348,Good,02-09-2012 17:00
0.1,8.7,10.4,4,1.04,12.5,518,Good,02-09-2012 18:00
11.8,15.9,25.7,9,1.06,13.8,480,Good,02-09-2012 19:00
49.8,61.3,32.5,6.3,1.72,5.7,336,Moderate,02-09-2012 20:00
10.2,14,23.1,7.1,1.01,12.2,379,Good,02-09-2012 21:00
11.4,23.3,31.2,11.5,1.98,5.5,459,Poor,02-09-2012 22:00
47,59.9,24.4,15.6,2.15,7,771,Poor,02-09-2012 23:00
18.8,45.3,45.3,17.9,2.73,3.3,615,Hazardous,02-10-2012 00:00
5.4,13.6,30.6,12.1,1.88,6.8,575,Moderate,02-10-2012 01:00
2.2,6.4,12.2,5,1.19,18.9,392,Good,02-10-2012 02:00
17.6,41.6,32.9,11.4,2.78,4.6,593,Poor,02-10-2012 03:00
7.3,17,24.4,2.9,1.59,10.2,660,Moderate,02-10-2012 04:00
22.4,27.5,19.4,3.1,1.18,10.6,396,Good,02-10-2012 05:00
2.3,10.6,13.7,6.3,1.13,11.5,537,Good,02-10-2012 06:00
26.8,46.5,40,9.3,2.4,9.9,624,Poor,02-10-2012 07:00
11.2,29.4,44.6,19.3,3.65,2.8,713,Hazardous,02-10-2012 08:00
12.3,22,27.1,12.2,1.54,12.1,577,Moderate,02-10-2012 09:00
2.5,9.5,12.5,7,1.04,12.1,258,Good,02-10-2012 10:00
60,76.1,24.2,5.8,1.05,6.4,511,Moderate,02-10-2012 11:00
23.7,34.7,37.7,6.8,1.42,5.9,527,Poor,02-10-2012 12:00
16.6,21.3,25.8,6.4,1.72,7.7,571,Moderate,02-10-2012 13:00
0.5,11.4,26.4,20,1.71,5.2,650,Moderate,02-10-2012 14:00
91.5,98.9,22.1,9.6,1.52,5.3,598,Moderate,02-10-2012 15:00
35,50.7,46,19.4,1.66,4,487,Poor,02-10-2012 16:00
49.8,70.3,35.2,15.4,2.85,4.7,680,Hazardous,02-10-2012 17:00
30,52.7,35.7,14.9,2.46,4,654,Poor,02-10-2012 18:00
56.8,70.2,34.4,10.3,1.75,5.1,486,Poor,02-10-2012 19:00
28,37.4,33.2,13.6,1.93,4.9,608,Poor,02-10-2012 20:00
109.2,116.8,43.5,21.2,2.07,4.6,741,Hazardous,02-10-2012 21:00
8.3,19.9,21,7.9,1.44,9.1,487,Moderate,02-10-2012 22:00
60.3,78.5,45.4,25,3.01,4.3,698,Hazardous,02-10-2012 23:00
11.2,30.1,25.8,10.6,1.23,5.3,640,Moderate,02-11-2012 00:00
5.7,12.5,16.8,6.1,1.01,12.2,230,Good,02-11-2012 01:00
6.9,10.9,21.2,3.7,1,12.8,298,Good,02-11-2012 02:00
3.8,10.1,25.1,4.7,1.01,10.3,394,Good,02-11-2012 03:00
0.8,7.4,26.3,1.8,1.07,10.8,481,Good,02-11-2012 04:00
16.2,21.1,18.9,12.4,1.44,9.3,405,Moderate,02-11-2012 05:00
47.2,61,21.7,13.8,2.24,3.7,514,Poor,02-11-2012 06:00
42.3,58.5,32.1,28.4,2.4,2.7,705,Hazardous,02-11-2012 07:00
2.5,8.7,27.7,10.5,1.4,5.7,327,Moderate,02-11-2012 08:00
31.4,34.6,21.3,3.9,0.97,12.7,463,Good,02-11-2012 09:00
51.2,79.2,35.4,23.3,2.16,3.7,565,Hazardous,02-11-2012 10:00
4.6,10.6,20.9,5.7,1.11,12.6,315,Good,02-11-2012 11:00
14.1,16.5,26,7.4,0.97,10.2,264,Good,02-11-2012 12:00
12.9,21.1,16.4,15.8,1.81,8,406,Moderate,02-11-2012 13:00
42.8,51.4,14.1,13.3,1.55,7.5,633,Moderate,02-11-2012 14:00
